Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,查看商品详情id42,530,0,190,190.19367018845514,127.30759999976726,359.1027000002214,55858.0,4.465870142330037,0.0,190,200,200,210,220,230,250,280,360,360,360
GET,浏览笔记本分类页,800,0,200,201.440319999856,148.32309999474091,435.9081999937189,47934.29875,6.740936063894396,0.0,200,210,210,220,240,250,290,320,440,440,440
POST,网页账号登录,25,0,240,278.311199999589,194.5703000019421,449.7530000007828,23835.2,0.21065425199669988,0.0,240,280,290,440,440,440,450,450,450,450,450
,Aggregated,1355,0,190,198.45954332085296,127.30759999976726,449.7530000007828,50588.97343173432,11.417460458221132,0.0,190,200,210,220,230,250,290,320,440,450,450
