Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,查看商品详情id42,340,0,170,179.12907000010068,131.6759000037564,555.62739999732,55858.0,2.8386156362570194,0.0,170,180,190,190,210,240,260,290,560,560,560
GET,浏览笔记本分类页,481,0,180,194.62810956355423,140.9198000037577,571.6013999990537,47934.0,4.015806238351842,0.0,180,190,200,210,230,270,350,440,570,570,570
POST,网页账号登录,15,0,190,190.01589333299003,165.07460000138963,209.42980000108946,23778.0,0.12523304277604497,0.0,190,190,190,200,200,210,210,210,210,210,210
,Aggregated,836,0,180,188.24191734461564,131.6759000037564,571.6013999990537,50723.25837320574,6.979654917384907,0.0,180,190,200,200,230,250,300,390,570,570,570
